TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
40097;-3.14;9.49;-1.05;-2.01;-0.25;-5.99
40202;-3.04;9.40;-1.07;-2.07;-0.05;-6.00
40306;-3.17;9.40;-1.00;-2.04;-0.13;-5.99
40411;-3.24;9.35;-1.07;-2.00;-0.05;-6.09
40515;-3.40;9.33;-1.13;-2.02;-0.23;-6.00
40620;-3.49;9.35;-1.13;-1.95;-0.08;-5.94
40724;-3.34;9.30;-0.96;-2.08;-0.12;-6.03
40828;-3.18;9.18;-1.05;-2.11;-0.28;-2.34
40933;-3.57;9.25;-1.00;-2.24;0.05;-0.99
41037;-3.55;9.32;-1.05;-2.30;0.27;-0.94
41142;-3.53;9.19;-1.06;-2.34;0.09;-0.95
41246;-3.54;9.24;-1.05;-2.32;0.13;-1.14
41351;-3.52;9.27;-1.08;-2.12;0.02;-1.21
41455;-3.50;9.23;-1.03;-2.13;-0.02;-0.86
41560;-3.60;9.26;-1.05;-2.22;0.05;-0.82
41664;-3.58;9.26;-1.04;-2.12;0.04;-1.02
41768;-3.54;9.25;-1.19;-2.27;-0.02;-1.14
41873;-3.59;9.28;-1.05;-2.24;-0.14;-0.92
41977;-3.52;9.23;-1.11;-2.15;0.21;-1.01
42082;-3.51;9.28;-1.12;-2.13;0.00;-1.10
42186;-3.51;9.28;-1.06;-2.27;0.07;-1.09
42291;-3.51;9.27;-1.00;-2.20;0.03;-1.17
42395;-3.55;9.25;-1.09;-2.04;0.15;-0.96
42500;-3.45;9.24;-1.04;-2.25;0.02;-1.01
42604;-3.52;9.19;-1.04;-2.24;-0.05;-1.05
42708;-3.49;9.28;-1.04;-2.16;0.03;-1.14
42813;-3.57;9.31;-1.06;-2.22;0.05;-1.06
42917;-3.48;9.25;-1.05;-2.15;-0.09;-0.95
43022;-3.50;9.30;-1.05;-2.24;0.08;-1.02
43126;-3.54;9.33;-1.03;-2.20;-0.02;-1.00
43231;-3.51;9.21;-1.01;-2.20;-0.06;-0.87
43335;-3.49;9.24;-1.01;-2.16;0.08;-1.15
43440;-3.53;9.25;-1.05;-2.43;0.05;-1.15
43544;-3.54;9.25;-1.09;-2.17;0.16;-1.13
43649;-3.62;9.25;-1.07;-2.17;0.12;-1.28
43753;-3.55;9.24;-1.14;-2.22;0.08;-0.93
43856;-3.54;9.27;-1.08;-2.33;0.07;-1.07
43961;-3.52;9.29;-1.05;-2.24;0.03;-1.11
44065;-3.51;9.28;-1.10;-2.27;0.11;-0.85
44170;-3.58;9.27;-1.07;-2.12;-0.11;-0.89
44274;-3.55;8.89;-0.15;-1.97;-1.97;-1.97
44379;-3.54;9.25;-1.09;-2.13;0.05;-1.12
44483;-3.51;9.30;-1.11;-2.33;0.03;-1.13
44588;-3.54;9.22;-1.04;-2.33;-0.02;-1.01
44692;-3.54;9.26;-1.06;-2.12;-0.16;-1.02
44796;-3.55;9.22;-1.16;-2.33;-0.05;-1.09
44901;-3.54;9.26;-1.09;-2.00;0.12;-1.19
45005;-3.53;9.26;-1.05;-2.30;0.08;-0.96
45110;-3.56;9.28;-1.09;-2.26;0.07;-1.10
45214;-3.48;9.21;-1.00;-2.01;-0.01;-1.08
45319;-3.52;9.21;-1.04;-2.17;-0.01;-1.06
45423;-3.48;9.27;-1.01;-2.11;0.08;-1.01
45528;-3.52;9.34;-1.07;-2.41;0.07;-0.97
45632;-3.59;9.24;-1.11;-2.24;0.07;-1.01
45736;-3.61;9.25;-1.02;-2.10;0.05;-1.05
45841;-3.57;9.25;-1.07;-2.13;-0.02;-0.95
45945;-3.54;9.27;-1.11;-2.24;-0.09;-1.13
46050;-3.56;9.28;-1.15;-2.32;-0.18;-1.04
