TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
36861;0.15;0.23;8.17;-2.53;0.94;-1.17
36966;-0.21;0.01;9.19;-2.60;0.64;-1.17
37070;-0.59;-0.33;10.99;-1.85;-0.53;-0.98
37175;0.09;-0.07;9.52;-1.89;0.40;-1.04
37279;-0.17;0.12;8.66;-2.14;0.85;-0.90
37384;-0.41;0.09;9.00;-1.96;-0.60;-1.05
37488;0.36;0.61;8.75;-2.04;-0.68;-1.27
37592;0.02;0.29;8.74;-2.49;0.56;-1.20
37696;0.34;0.45;8.26;-2.59;0.08;-1.34
37800;0.06;0.05;8.99;-1.83;0.34;-0.96
37905;-0.31;-0.05;9.15;-2.34;0.63;-1.21
38009;-0.20;0.38;8.91;-2.40;0.30;-1.08
38114;-0.40;0.15;9.13;-2.43;-0.27;-1.14
38218;-0.94;0.01;10.33;-1.96;-0.78;-1.15
38323;-0.12;0.35;8.77;-2.39;0.98;-1.03
38427;-0.20;0.11;9.31;-2.01;1.79;-1.45
38532;0.04;0.87;8.02;-2.22;0.60;-1.42
38636;-0.54;0.30;9.93;-1.99;-0.47;-1.16
38740;0.44;0.32;8.92;-2.07;-1.82;-1.14
38845;0.29;0.00;8.82;-2.27;1.67;-1.29
38949;-0.69;-0.11;10.36;-1.78;0.85;-1.01
39054;-0.00;-0.16;9.13;-2.38;1.43;-0.92
39158;-0.30;0.08;9.41;-2.28;0.01;-1.26
39263;0.00;0.24;9.34;-2.14;0.03;-1.12
39367;0.33;0.46;8.39;-2.40;-0.92;-1.21
39472;0.02;0.06;8.80;-2.39;0.35;-0.98
39576;-0.09;0.10;8.80;-2.62;0.15;-1.15
39681;-0.29;0.21;9.39;-2.08;0.38;-1.12
39785;0.07;0.52;9.18;-2.08;-0.01;-1.05
39889;0.19;0.60;8.57;-2.13;-2.27;-1.24
39994;0.29;0.25;9.86;-2.00;-0.22;-1.17
40098;-0.30;0.16;9.57;-2.17;-1.05;-1.32
40203;-0.45;0.03;9.07;-2.17;-1.88;-0.95
40307;-0.10;-0.16;8.98;-2.21;0.46;-1.08
